Episodes,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,mean,top,bottom
1,50,62,20,69,44,56,58,89,35,79,34,38,48,39,33,50,67.0540935046,32.9459064954
2,34,27,31,65,24,62,84,67,69,59,53,26,24,31,27,45.25,64.9794196569,25.5205803431
3,30,27,35,31,62,32,38,41,34,66,58,28,34,67,24,44.95,70.1052547613,19.7947452387
4,50,54,32,83,36,79,25,28,75,31,34,53,58,100,25,49.4,72.2344153925,26.5655846075
5,27,40,56,33,50,32,40,31,24,26,38,30,41,64,40,42.7,64.966566866,20.433433134
6,87,27,60,38,50,34,34,50,63,40,71,59,29,28,63,47.1,66.0484064043,28.1515935957
7,41,89,26,75,21,57,48,57,59,38,67,49,49,39,35,48.35,67.2799956905,29.4200043095
8,42,25,26,35,47,77,31,26,30,72,21,25,28,30,62,39.15,55.0783758712,23.2216241288
9,22,62,38,81,39,34,47,69,26,61,26,51,26,29,28,45.4,65.2106829235,25.5893170765
10,41,27,130,28,36,42,29,72,42,27,60,30,61,46,73,54.65,90.1498517417,19.1501482583
11,95,49,28,98,30,55,39,60,87,46,24,91,37,41,29,53.05,77.0904812107,29.0095187893
12,38,43,50,31,66,81,60,87,37,48,31,102,31,31,32,49.35,71.7372026414,26.9627973586
13,39,60,55,52,30,42,25,33,51,34,63,44,33,59,43,44.7,57.349526723,32.050473277
14,62,62,40,29,61,31,75,44,84,49,36,29,45,69,33,54.1,75.111024675,33.088975325
15,75,25,46,63,33,30,65,43,91,40,40,44,34,71,22,49.6,69.8052624724,29.3947375276
16,41,32,40,26,79,61,77,31,47,70,42,48,37,33,36,49.35,68.855127531,29.844872469
17,44,38,69,21,30,32,25,86,19,35,50,73,30,53,26,42.65,62.052319449,23.247680551
18,94,56,34,47,24,48,25,55,68,34,28,37,43,74,38,47.35,65.7441495276,28.9558504724
19,30,77,22,51,30,64,50,64,89,60,61,28,68,62,37,49.15,69.3731628533,28.9268371467
20,57,39,45,29,42,78,43,66,28,44,44,54,37,23,41,45.5,59.3126562863,31.6873437137
21,31,31,32,91,32,22,48,39,59,141,38,121,54,32,75,60.25,95.6601903263,24.8398096737
22,65,69,33,73,33,66,66,85,67,66,26,42,80,51,32,52.8,71.7642322614,33.8357677386
23,75,77,42,24,32,29,63,30,83,69,62,39,33,74,33,51.75,72.6075999023,30.8924000977
24,26,32,34,48,58,54,88,43,22,37,36,28,33,50,84,46.9,66.6108038769,27.1891961231
25,34,69,37,43,21,41,37,40,33,43,55,30,51,30,58,44.6,61.6984763864,27.5015236136
26,26,72,42,52,29,36,46,31,67,75,33,51,34,34,42,47.35,63.1556452273,31.5443547727
27,58,55,51,45,39,28,47,33,39,58,40,59,24,51,57,42.3,54.2609012158,30.3390987842
28,57,60,65,34,57,30,33,72,33,24,85,85,84,70,108,53.7,78.1607096338,29.2392903662
29,24,33,37,48,51,30,22,29,22,84,125,51,47,70,25,50.3,81.1393118907,19.4606881093
30,64,58,30,30,32,39,52,41,58,34,56,79,69,33,66,47.05,63.7815491465,30.3184508535
31,36,31,40,35,75,49,31,30,47,50,37,22,28,32,33,38.85,52.5738747022,25.1261252978
32,148,24,34,70,71,50,35,71,72,28,26,43,51,73,33,58.6,91.5870788101,25.6129211899
33,38,46,80,53,54,60,51,30,38,31,45,32,37,36,55,43.95,56.9862853928,30.9137146072
34,35,29,33,63,60,30,78,36,41,33,31,79,21,79,55,46.85,65.3753027534,28.3246972466
35,30,24,60,40,43,66,32,54,84,89,30,58,28,44,118,51.55,75.808422303,27.291577697
36,36,21,89,84,40,33,33,67,53,28,32,29,20,30,35,40.2,59.5706234446,20.8293765554
37,62,49,83,34,72,36,24,36,31,26,56,48,35,69,40,46.7,62.6706968506,30.7293031494
38,37,26,39,53,36,66,69,39,32,78,52,60,71,72,53,49.15,65.7292355865,32.5707644135
39,53,49,21,33,32,32,20,73,44,72,63,56,34,101,46,47.45,68.3771292069,26.5228707931
40,28,84,71,35,32,75,39,35,31,76,28,51,54,50,56,47.2,65.4802740968,28.9197259032
41,57,41,79,33,44,26,51,39,54,50,39,26,136,28,24,48.3,72.7111708682,23.8888291318
42,63,67,49,26,77,24,52,132,29,30,38,37,46,28,31,48.1,74.5135132879,21.6864867121
43,60,51,49,48,27,42,68,65,34,47,35,57,109,53,53,50.05,69.3685893568,30.7314106432
44,55,33,21,64,42,79,44,44,34,65,53,51,36,45,32,43.8,58.0703225354,29.5296774646
45,33,26,33,65,37,47,62,36,42,46,37,33,63,34,46,42.15,55.8277768277,28.4722231723
46,22,41,41,108,43,36,44,70,73,44,30,32,27,46,49,44.45,64.4512499609,24.4487500391
