Episodes,Reward 1,Reward 2,mean,top,bottom,
51,19.21,27.07,23.14,28.697859300126265,17.582140699873737,
52,19.14,27.61,23.375,29.364194436650056,17.385805563349944,
53,19.18,27.47,23.325,29.18691521603648,17.46308478396352,
54,18.99,27.52,23.255,29.28662084352125,17.22337915647875,
55,19.0,27.54,23.27,29.308691911333113,17.231308088666886,
56,19.23,27.35,23.29,29.031707063234766,17.548292936765232,
57,19.22,27.27,23.244999999999997,28.937209588551706,17.55279041144829,
58,19.21,27.35,23.28,29.0358491988585,17.524150801141502,
59,18.95,27.36,23.155,29.101768029778867,17.208231970221135,
60,19.38,27.51,23.445,29.193778131046635,17.696221868953366,
61,19.5,27.77,23.634999999999998,29.482773080412745,17.78722691958725,
62,19.51,27.86,23.685000000000002,29.589341622907675,17.78065837709233,
63,19.5,28.17,23.835,29.96561579288737,17.704384207112632,
64,19.6,27.86,23.73,29.570702012600883,17.889297987399118,
65,19.58,27.64,23.61,29.309280656363576,17.910719343636423,
66,19.52,28.27,23.895,30.08218433538229,17.70781566461771,
67,19.56,28.11,23.835,29.880762979144983,17.78923702085502,
68,19.34,28.65,23.994999999999997,30.578164132846755,17.41183586715324,
69,19.64,28.54,24.09,30.38325035256027,17.79674964743973,
70,19.41,28.48,23.945,30.358458505361988,17.531541494638013,
71,19.46,28.43,23.945,30.28774782724333,17.60225217275667,
72,19.5,28.43,23.965,30.279463555995868,17.650536444004132,
73,19.5,28.42,23.96,30.267392488184008,17.652607511815994,
74,19.46,28.41,23.935000000000002,30.263605691619603,17.606394308380402,
75,19.39,28.46,23.925,30.338458505361988,17.511541494638013,
76,19.4,28.51,23.955,30.39674277660945,17.513257223390546,
77,19.45,28.54,23.994999999999997,30.422600640985713,17.56739935901428,
78,19.55,29.53,24.54,31.596925676241746,17.483074323758252,
79,19.44,29.73,24.585,31.861128778409576,17.308871221590426,
80,19.41,29.87,24.64,32.03633693121129,17.243663068788713,
81,19.6,29.9,24.75,32.033199846221436,17.466800153778564,
82,19.68,30.32,25.0,32.52361615182487,17.476383848175132,
83,19.86,30.12,24.990000000000002,32.24491557497398,17.735084425026024,
84,19.81,30.4,25.104999999999997,32.593260812765536,17.616739187234458,
85,19.57,30.41,24.990000000000002,32.65503750806218,17.32496249193783,
86,19.53,30.42,24.975,32.6753928471215,17.2746071528785,
87,19.53,30.36,24.945,32.602966440250306,17.28703355974969,
88,19.34,30.38,24.86,32.666458864299486,17.053541135700517,
89,19.37,30.38,24.875,32.660245660863886,17.089754339136114,
90,19.45,30.52,24.985,32.81267206773508,17.15732793226492,
91,19.43,30.36,24.895,32.62367711836897,17.166322881631036,
92,19.65,30.73,25.189999999999998,33.02474313554694,17.35525686445305,
93,19.64,30.91,25.275,33.24409342397239,17.30590657602761,
94,19.45,31.64,25.545,34.16463166266402,16.925368337335986,
95,19.54,31.69,25.615000000000002,34.20634739141656,17.023652608583447,
96,19.43,31.84,25.634999999999998,34.410195154525056,16.85980484547494,
97,19.43,31.23,25.33,33.67386001800126,16.98613998199874,
98,19.39,31.09,25.240000000000002,33.51314933988261,16.966850660117395,
99,19.41,31.5,25.455,34.00392098454536,16.906079015454637,
100,19.59,31.82,25.705,34.352915933911476,17.05708406608852,
101,19.59,33.17,26.380000000000003,35.98251008851332,16.777489911486686,
102,19.58,33.68,26.63,36.60020561473032,16.659794385269677,
103,19.56,33.79,26.674999999999997,36.73712949628457,16.612870503715428,
104,19.3,34.69,26.994999999999997,37.87737336246096,16.112626637539034,
105,19.34,34.37,26.854999999999997,37.4828149212338,16.22718507876619,
106,19.31,34.33,26.82,37.44074385342194,16.19925614657806,
107,19.22,34.39,26.805,37.53180987059993,16.07819012940007,
108,19.15,34.28,26.715,37.41352559935247,16.01647440064753,
109,19.57,34.57,27.07,37.67660171779821,16.463398282201787,
110,19.56,34.79,27.174999999999997,37.94423627747112,16.405763722528878,
111,19.48,34.56,27.020000000000003,37.68317026029314,16.356829739706868,
112,19.38,34.71,27.045,37.884946955589776,16.205053044410228,
113,19.25,35.06,27.155,38.334358210559316,15.975641789440683,
114,19.44,35.52,27.480000000000004,38.850277041479686,16.10972295852032,
115,19.4,35.52,27.46,38.85856131272715,16.06143868727285,
116,19.34,35.37,27.354999999999997,38.68992170242035,16.020078297579644,
117,19.38,35.22,27.299999999999997,38.50057141399491,16.099428586005082,
118,19.35,35.64,27.495,39.01376946552886,15.976230534471142,
119,19.34,35.77,27.555,39.17276441489498,15.937235585105022,
120,19.86,36.23,28.044999999999998,39.62033800802378,16.469661991976217,
121,19.67,36.18,27.925,39.5993329573899,16.250667042610104,
122,19.74,36.16,27.949999999999996,39.5606933470831,16.33930665291689,
123,19.77,35.83,27.799999999999997,39.15613490585595,16.443865094144044,
124,19.76,35.67,27.715000000000003,38.965068888677976,16.46493111132203,
125,19.91,36.7,28.305,40.17732285612213,16.432677143877864,
126,19.89,36.97,28.43,40.50738382266623,16.35261617733377,
127,19.89,37.19,28.54,40.77294731452727,16.307052685472726,
128,19.83,37.04,28.435,40.60430770422048,16.265692295779516,
129,19.78,37.26,28.52,40.88022653514085,16.15977346485915,
130,19.72,37.2,28.46,40.820226535140854,16.099773464859148,
131,19.71,37.15,28.43,40.76194226389339,16.09805773610661,
132,20.21,37.24,28.725,40.76702848360691,16.682971516393096,
133,20.25,37.6,28.925,41.1933026535866,16.656697346413402,
134,20.25,37.88,29.065,41.53129255231884,16.598707447681164,
135,20.36,37.64,29.0,41.218805178903544,16.781194821096456,
136,20.17,37.53,28.85,41.12537372139847,16.574626278601535,
137,20.54,37.76,29.15,41.32637877203234,16.97362122796765,
138,20.57,37.98,29.275,41.58572906045779,16.96427093954221,
139,20.45,38.75,29.6,42.54005409571382,16.659945904286182,
140,20.67,38.9,29.785,42.67555662103076,16.894443378969243,
141,20.68,39.06,29.87,42.866622638208746,16.873377361791256,
