Episodes,Reward 1,Reward 2,Reward 3,mean,top,bottom,
1,26.0,20.0,20.0,22.0,25.464101615137753,18.535898384862247,
2,33.0,17.0,12.0,20.666666666666668,31.636321781269558,9.69701155206378,
3,28.0,10.0,24.0,20.666666666666668,30.118297919171884,11.215035414161452,
4,12.0,9.0,35.0,18.666666666666668,32.89105886223458,4.442274471098756,
5,12.0,16.0,21.0,16.333333333333332,20.842583086156225,11.824083580510438,
6,24.0,16.0,48.0,29.333333333333332,45.9866613290624,12.680005337604268,
7,27.0,27.0,36.0,30.0,35.19615242270663,24.803847577293368,
8,27.0,38.0,32.0,32.333333333333336,37.840903880619436,26.825762786047235,
9,36.0,11.0,19.0,22.0,34.7671453348037,9.232854665196296,
10,35.0,61.0,23.0,39.666666666666664,59.09173637911128,20.241596954222043,
11,14.0,9.0,41.0,21.333333333333332,38.547668444900474,4.118998221766191,
12,37.0,18.0,20.0,25.0,35.44030650891055,14.55969349108945,
13,13.0,16.0,43.0,24.0,40.52271164185831,7.477288358141696,
14,8.0,17.0,10.0,11.666666666666666,16.392482292919276,6.940851040414058,
15,13.0,12.0,23.0,16.0,22.08276253029822,9.917237469701782,
16,17.0,41.0,18.0,25.333333333333332,38.91027456961086,11.756392097055798,
17,13.0,15.0,23.0,17.0,22.29150262212918,11.708497377870819,
18,29.0,10.0,74.0,37.666666666666664,70.53509123087925,4.798242102454083,
19,21.0,13.0,52.0,28.666666666666668,49.26601940730717,8.067313926026166,
20,16.0,14.0,45.0,25.0,42.349351572897476,7.650648427102528,
21,17.0,16.0,14.0,15.666666666666666,17.194191898318614,14.13914143501472,
22,31.0,13.0,22.0,22.0,31.0,13.0,
23,25.0,54.0,20.0,33.0,51.35755975068582,14.64244024931418,
24,22.0,17.0,29.0,22.666666666666668,28.694380440008374,16.638952893324962,
25,109.0,19.0,15.0,47.666666666666664,100.82053137407372,-5.487198040740395,
26,36.0,13.0,30.0,26.333333333333332,38.26368677878219,14.402979887884477,
27,22.0,14.0,28.0,21.333333333333332,28.357102501901824,14.30956416476484,
28,17.0,13.0,14.0,14.666666666666666,16.7483326661328,12.585000667200534,
29,28.0,25.0,71.0,41.333333333333336,67.06917086261015,15.597495804056514,
30,12.0,24.0,17.0,17.666666666666668,23.694380440008374,11.63895289332496,
31,12.0,48.0,17.0,25.666666666666668,45.16880330174676,6.164530031586569,
32,21.0,24.0,19.0,21.333333333333332,23.849944811756917,18.816721854909748,
33,26.0,12.0,15.0,17.666666666666668,25.03778146249866,10.295551870834675,
34,17.0,21.0,14.0,17.333333333333332,20.84521791761758,13.821448749049086,
35,19.0,13.0,24.0,18.666666666666668,24.17423721395277,13.159096119380566,
36,18.0,14.0,13.0,15.0,17.64575131106459,12.35424868893541,
37,43.0,36.0,47.0,42.0,47.56776436283002,36.43223563716998,
38,36.0,12.0,23.0,23.666666666666668,35.6805475272934,11.652785806039935,
39,18.0,28.0,18.0,21.333333333333332,27.10683602522959,15.559830641437074,
40,17.0,18.0,55.0,30.0,51.65640782770771,8.343592172292286,
41,38.0,28.0,27.0,31.0,37.08276253029822,24.91723746970178,
42,38.0,30.0,18.0,28.666666666666668,38.733112580361,18.600220752972334,
43,36.0,15.0,40.0,30.333333333333332,43.762158052322455,16.90450861434421,
44,27.0,12.0,20.0,19.666666666666668,27.1722201661318,12.161113167201533,
45,42.0,12.0,14.0,22.666666666666668,39.43966083387883,5.893672499454503,
46,15.0,14.0,32.0,20.333333333333332,30.44932727032901,10.217339396337653,
47,29.0,12.0,16.0,19.0,27.88819441731559,10.111805582684411,
48,28.0,20.0,31.0,26.333333333333332,32.01957403641066,20.647092630256004,
49,11.0,26.0,38.0,25.0,38.52774925846868,11.472250741531317,
50,20.0,18.0,53.0,30.333333333333332,49.988697317074084,10.677969349592576,
51,15.0,15.0,12.0,14.0,15.732050807568877,12.267949192431123,
52,28.0,26.0,26.0,26.666666666666668,27.82136720504592,25.511966128287416,
53,25.0,12.0,67.0,34.666666666666664,63.412680883133845,5.92065245019948,
54,31.0,13.0,22.0,22.0,31.0,13.0,
55,10.0,27.0,40.0,25.666666666666668,40.71104546186235,10.62228787147099,
56,25.0,38.0,41.0,34.666666666666664,43.171567214782044,26.161766118551284,
57,15.0,10.0,51.0,25.333333333333332,47.70146542641015,2.9652012402565084,
58,28.0,11.0,39.0,26.0,40.106735979665885,11.893264020334115,
59,79.0,10.0,25.0,38.0,74.29049462324811,1.709505376751892,
60,38.0,13.0,19.0,23.333333333333332,36.384514633634595,10.28215203303207,
61,37.0,13.0,27.0,25.666666666666668,37.72209421335008,13.611239119983251,
