Episodes,Reward 1,Reward 2,Reward 3,mean,top,bottom,
51,26.9,18.88,31.89,25.89,32.453543250409794,19.326456749590204,
52,26.74,19.04,31.98,25.919999999999998,32.42885550615467,19.411144493845324,
53,26.62,19.36,32.04,26.006666666666668,32.368878022267275,19.64445531106606,
54,26.45,19.36,31.98,25.93,32.25604932007331,19.60395067992669,
55,26.74,19.4,32.07,26.07,32.43151711465119,19.708482885348808,
56,27.01,19.37,32.04,26.14,32.519647325675614,19.760352674324388,
57,26.88,19.54,32.29,26.236666666666665,32.635966107490894,19.83736722584243,
58,26.98,19.58,32.39,26.316666666666666,32.74737683999382,19.885956493339513,
59,27.05,19.41,32.53,26.330000000000002,32.91956751236377,19.740432487636234,
60,26.83,19.44,32.58,26.28333333333333,32.87036857943102,19.696298087235636,
61,26.83,19.09,32.52,26.14666666666667,32.88769280022626,19.40564053310708,
62,27.0,19.13,32.31,26.14666666666667,32.77797372736996,19.515359605963376,
63,26.76,19.24,32.32,26.106666666666666,32.671096065581196,19.54223726775214,
64,26.97,19.44,32.01,26.14,32.46597028130863,19.814029718691373,
65,27.08,19.38,32.07,26.176666666666666,32.569712367530485,19.783620965802847,
66,27.22,19.55,32.33,26.366666666666667,32.79925816102828,19.934075172305057,
67,27.23,19.37,32.48,26.36,32.958158834099095,19.7618411659009,
68,27.47,19.61,32.4,26.493333333333332,32.944025802621674,20.04264086404499,
69,27.43,19.64,31.8,26.29,32.44963472942998,20.130365270570014,
70,27.42,19.65,31.44,26.17,32.16357155625926,20.176428443740743,
71,27.46,19.83,31.16,26.15,31.92748215055659,20.37251784944341,
72,27.44,20.09,31.18,26.236666666666668,31.87874370737901,20.594589625954328,
73,27.63,20.11,31.13,26.29,31.920879149830867,20.65912085016913,
74,27.71,19.73,31.17,26.203333333333333,32.07026893322987,20.336397733436797,
75,27.62,19.82,31.15,26.196666666666665,31.99422074863376,20.39911258469957,
76,26.69,19.77,31.53,25.996666666666666,31.907244754581022,20.08608857875231,
77,26.6,19.81,31.4,25.936666666666667,31.76007059678635,20.113262736546986,
78,26.57,19.85,31.66,26.026666666666667,31.95038453075619,20.102948802577146,
79,27.07,19.92,31.76,26.25,32.21244077538721,20.287559224612792,
80,27.07,19.78,31.15,26.0,31.760026041607798,20.239973958392202,
81,27.17,19.73,31.15,26.016666666666666,31.813366877418755,20.219966455914577,
82,27.34,19.71,31.31,26.12,32.01544739608454,20.224552603915463,
83,27.64,19.57,31.39,26.2,32.24014072683741,20.159859273162585,
84,27.71,19.84,31.65,26.4,32.41299426242866,20.387005737571336,
85,27.91,19.77,31.65,26.44333333333333,32.517617927697785,20.36904873896888,
86,27.98,19.82,31.9,26.566666666666666,32.72943660666389,20.403896726669448,
87,28.41,19.97,32.65,27.009999999999998,33.46488961950551,20.555110380494487,
88,28.28,19.77,32.43,26.826666666666668,33.28058279048896,20.37275054284438,
89,28.06,19.85,32.31,26.740000000000002,33.074011367214304,20.4059886327857,
90,28.02,19.73,32.77,26.84,33.43959847263453,20.24040152736547,
91,28.15,19.7,32.87,26.906666666666666,33.57911998859656,20.23421334473677,
92,28.08,19.73,32.89,26.9,33.55888128742359,20.241118712576412,
93,28.27,19.61,32.98,26.953333333333333,33.734884286716586,20.17178237995008,
94,28.0,19.7,33.16,26.953333333333333,33.74410157656865,20.162565090098013,
95,28.2,19.7,33.2,27.033333333333335,33.85853174314776,20.20813492351891,
96,28.07,19.81,33.45,27.11,33.98048761006088,20.239512389939122,
97,28.11,19.89,33.61,27.203333333333333,34.10812394082704,20.298542725839624,
98,28.07,19.95,33.86,27.293333333333333,34.28078160386338,20.305885062803288,
99,28.22,19.95,33.91,27.36,34.379622496972324,20.340377503027675,
100,28.31,19.87,33.83,27.336666666666666,34.36738023879669,20.30595309453664,
101,28.27,19.85,33.73,27.28333333333333,34.275738737293636,20.290927929373026,
102,28.31,19.85,33.77,27.310000000000002,34.3236723618943,20.2963276381057,
103,28.23,19.81,34.24,27.426666666666666,34.67513087181615,20.17820246151718,
104,28.28,19.85,33.84,27.323333333333334,34.36722666964482,20.27943999702185,
105,28.14,20.03,33.81,27.326666666666668,34.25257695581519,20.40075637751815,
106,28.64,19.91,33.63,27.393333333333334,34.33777235555344,20.44889431111323,
107,28.57,19.75,33.75,27.356666666666666,34.435093987289044,20.278239346044284,
108,29.14,19.99,33.36,27.496666666666666,34.331477076131826,20.661856257201503,
109,29.1,20.02,33.33,27.483333333333334,34.2840122210131,20.682654445653565,
110,28.54,20.13,33.39,27.35333333333333,34.06250864281313,20.644158023853535,
111,28.79,20.18,34.04,27.669999999999998,34.66754957109987,20.672450428900127,
112,28.65,20.23,34.49,27.79,34.95879348286725,20.621206517132745,
113,28.59,20.04,34.6,27.743333333333332,35.060165525842145,20.426501140824517,
114,28.42,20.08,35.02,27.84,35.326868504254634,20.353131495745366,
115,28.43,20.03,34.98,27.813333333333333,35.30738653125856,20.319280135408107,
116,28.79,20.06,34.92,27.923333333333332,35.39114648936056,20.455520177306102,
117,28.67,20.02,34.57,27.753333333333334,35.071518445322056,20.435148221344615,
118,28.65,20.09,34.5,27.746666666666666,34.994013307564515,20.499320025768817,
119,28.7,20.11,34.98,27.93,35.394844271650946,20.465155728349053,
120,28.72,20.24,35.12,28.026666666666664,35.49085673212811,20.56247660120522,
121,28.48,20.41,35.94,28.276666666666667,36.04366308312865,20.50967025020468,
122,28.43,20.57,36.11,28.37,36.14017374323123,20.59982625676877,
123,28.36,20.29,36.42,28.356666666666666,36.42166718330232,20.291666150031013,
124,28.44,20.64,36.79,28.623333333333335,36.699894070016576,20.546772596650094,
125,29.2,20.65,36.54,28.796666666666667,36.749341269172,20.843992064161334,
126,29.04,20.71,36.08,28.61,36.3040171562065,20.915982843793497,
127,29.63,21.58,36.16,29.12333333333333,36.42652669879568,21.82013996787098,
128,29.7,21.57,36.2,29.156666666666666,36.48678490127471,21.826548432058622,
129,29.75,21.48,36.23,29.153333333333332,36.54641343119061,21.76025323547606,
130,29.9,21.24,36.56,29.233333333333334,36.91506056966068,21.551606097005987,
131,30.11,21.41,36.67,29.39666666666667,37.05163455251265,21.741698780820684,
132,30.19,21.53,36.23,29.316666666666666,36.705478027997614,21.92785530533572,
133,30.04,21.5,36.4,29.313333333333333,36.78986550629516,21.836801160371504,
134,29.74,21.45,37.03,29.406666666666666,37.202013569360176,21.611319763973153,
135,29.98,21.47,36.52,29.323333333333334,36.86979166379096,21.776875002875705,
136,29.78,21.53,36.49,29.26666666666667,36.75986580544133,21.773467527892006,
137,29.8,21.48,36.53,29.27,36.80898534286942,21.731014657130576,
138,29.85,21.42,36.54,29.27,36.84666813315721,21.69333186684279,
139,29.76,21.46,36.67,29.296666666666667,36.91224499883116,21.68108833450217,
140,29.46,21.88,36.73,29.356666666666666,36.78220592878988,21.931127404543453,
141,29.89,22.24,36.91,29.68,37.01725425482857,22.342745745171428,
142,29.77,22.24,37.11,29.706666666666667,37.14186897281365,22.27146436051969,
143,29.67,22.27,37.42,29.78666666666667,37.36234045408211,22.210992879251233,
144,29.37,22.3,37.28,29.650000000000002,37.143924205648204,22.156075794351803,
145,29.32,22.36,37.83,29.836666666666666,37.584597573259295,22.088735760074034,
146,29.2,22.54,36.68,29.473333333333333,36.54729497680677,22.3993716898599,
147,29.23,22.61,36.66,29.5,36.528890381845486,22.471109618154514,
148,29.28,22.62,36.68,29.526666666666667,36.55991153182907,22.49342180150426,
149,29.39,22.69,36.53,29.53666666666667,36.45783227177491,22.615501061558426,
150,29.53,22.68,36.54,29.583333333333332,36.51348725177795,22.65317941488871,
151,29.56,22.8,36.41,29.59,36.39504959570465,22.78495040429535,
152,29.69,22.74,36.44,29.62333333333333,36.473576638014805,22.773090028651858,
153,29.72,22.46,36.83,29.669999999999998,36.85513047898227,22.48486952101773,
154,29.93,22.52,36.89,29.78,36.96617422555285,22.593825774447158,
155,29.81,22.54,36.72,29.689999999999998,36.78076159520259,22.599238404797404,
156,29.57,22.63,36.68,29.626666666666665,36.651838076200626,22.601495257132708,
157,29.9,22.92,36.37,29.73,36.45661133112357,23.003388668876433,
158,29.76,22.87,36.12,29.583333333333332,36.210099764507234,22.95656690215943,
159,29.68,22.88,35.87,29.476666666666667,35.9740533208018,22.979280012531532,
160,29.84,22.9,36.06,29.6,36.18328185633883,23.016718143661173,
161,30.07,23.13,36.31,29.836666666666666,36.42976406723139,23.24356926610194,
162,30.19,23.14,36.88,30.07,36.9407859812397,23.199214018760298,
163,30.62,22.98,37.95,30.51666666666667,38.00220160635757,23.03113172697576,
164,30.42,22.75,38.1,30.423333333333336,38.09833387622148,22.74833279044519,
165,30.44,22.83,38.36,30.543333333333333,38.308848984810275,22.77781768185639,
166,30.39,22.74,38.09,30.406666666666666,38.081680238858794,22.731653094474538,
167,30.5,22.71,38.01,30.406666666666666,38.05709367000009,22.756239663333236,
168,30.35,22.73,38.54,30.54,38.44671233826045,22.63328766173955,
169,30.41,22.76,38.61,30.593333333333334,38.519923604902395,22.666743061764272,
170,30.6,22.82,39.15,30.856666666666666,39.02469172376176,22.68864160957157,
171,30.87,22.64,39.28,30.93,39.25016225803319,22.609837741966807,
172,30.98,22.74,39.86,31.19333333333333,39.75532687066641,22.631339796000255,
173,31.09,22.89,39.8,31.259999999999998,39.716281688780235,22.80371831121976,
174,30.93,22.93,40.47,31.44333333333333,40.22459368326792,22.662072983398744,
175,30.97,22.93,40.53,31.476666666666667,40.28759926959431,22.66573406373902,
176,31.23,23.03,40.51,31.59,40.335558872936595,22.844441127063405,
177,31.24,23.05,40.45,31.580000000000002,40.284981332547474,22.875018667452526,
178,31.59,23.29,40.93,31.936666666666667,40.76177478687309,23.111558546460245,
179,31.1,23.62,41.28,32.0,40.86433302623497,23.13566697376503,
180,31.03,23.78,41.31,32.04,40.848535633123134,23.231464366876864,
181,31.26,23.77,41.52,32.18333333333334,41.094283525839934,23.27238314082674,
182,31.14,23.63,41.4,32.056666666666665,40.97706090309665,23.13627243023668,
183,30.96,23.73,41.56,32.083333333333336,41.05125579805912,23.115410868607555,
184,31.01,23.85,41.41,32.09,40.91967723079389,23.26032276920612,
185,30.96,24.06,41.87,32.29666666666667,41.27659057131827,23.31674276201506,
186,31.8,25.14,42.43,33.123333333333335,41.843965955645395,24.402700711021275,
187,32.15,25.03,42.13,33.10333333333333,41.69310244160006,24.513564225066602,
188,32.42,25.07,42.87,33.45333333333333,42.39821082457564,24.508455842091024,
189,32.39,25.13,43.01,33.51,42.502463511185354,24.517536488814645,
190,32.44,25.14,42.57,33.38333333333333,42.136540364663816,24.630126302002854,
191,32.72,25.15,42.21,33.36,41.907988067375854,24.812011932624145,
192,32.95,25.08,42.24,33.42333333333333,42.013119904217,24.833546762449664,
193,32.5,25.09,42.3,33.29666666666667,41.92928117985636,24.664052153476973,
194,33.05,24.98,42.14,33.39,41.9750509608272,24.804949039172804,
195,32.77,25.07,42.69,33.51,42.343277987247994,24.676722012752002,
196,32.78,25.03,42.72,33.51,42.37756449088474,24.642435509115256,
197,33.17,25.02,42.71,33.63333333333333,42.487430313451256,24.77923635321541,
198,33.15,24.97,42.73,33.61666666666667,42.505858605945136,24.7274747273882,
199,33.17,25.0,42.86,33.67666666666667,42.61744030955313,24.735893023780203,
200,33.35,25.15,43.08,33.86,42.83587321657342,24.884126783426584,
201,33.54,25.17,42.83,33.846666666666664,42.6806597237917,25.01267360954163,
202,33.62,25.34,43.01,33.989999999999995,42.83080878653078,25.14919121346921,
203,33.79,25.51,42.96,34.086666666666666,42.81544855953885,25.35788477379448,
204,33.87,25.61,42.91,34.129999999999995,42.782930139553876,25.477069860446115,
205,34.36,25.55,43.28,34.39666666666667,43.26172353807665,25.531609795256685,
206,34.14,25.54,44.05,34.57666666666667,43.839389448512904,25.313943884820432,
207,34.34,25.89,44.17,34.800000000000004,43.948677500054316,25.651322499945692,
