Episodes,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,mean,top,bottom
51,49.15,46.44,48.18,51.03,46.3,47.29,46.98,50.75,47.6,50.27,48.12,49.72,42.88,49.96,48.69,48.229,50.2969812175,46.1610187825
52,48.96,46.45,48.81,50.72,46.3,46.99,46.95,50.55,47.97,49.69,47.98,50.06,42.72,49.93,48.96,48.215,50.2472595669,46.1827404331
53,49,46.4,49.37,50.3,46.75,46.65,46.6,50.23,47.83,49.35,47.85,50.14,42.98,50.08,49.06,48.2315,50.2262754787,46.2367245213
54,49.08,46.41,49.84,50.34,46.41,46.85,46.63,50.05,48.1,48.98,47.69,50.59,42.93,49.82,49.46,48.2405,50.3555823674,46.1254176326
55,49.12,46.12,49.98,50.02,46.75,46.62,47.01,50.14,48.05,49.02,47.73,50.79,42.61,49.23,49.47,48.206,50.360245258,46.051754742
56,49.23,46.16,50.11,50.14,46.62,46.69,47.11,50.04,48.22,49.18,47.71,50.99,42.74,49.23,49.66,48.234,50.4578028122,46.0101971878
57,48.69,46.32,50.11,50.38,46.43,46.65,47.28,49.96,48.18,49.32,47.57,50.89,43,49.18,50.01,48.264,50.4065744475,46.1214255525
58,48.54,45.89,50.26,50.19,46.72,46.52,47.24,49.86,48.19,49.41,47.43,50.85,42.85,49.31,50.06,48.2395,50.3894289462,46.0895710538
59,48.85,45.99,50.38,50.64,46.53,46.38,47.37,49.91,48.33,49.27,47.58,50.86,42.88,49.24,49.69,48.288,50.4663494476,46.1096505524
60,49.42,46.12,50.37,50.31,46.52,46.81,47.16,49.46,48.52,49.25,47.62,50.67,43.1,49.21,49.94,48.267,50.3374413463,46.1965586537
61,49.29,46.34,50.08,50.25,46.77,46.71,47.16,49.32,48.52,49.27,47.59,50.88,42.72,49.38,50.21,48.214,50.2783270855,46.1496729145
62,48.7,46.3,50.19,49.79,46.71,46.85,47.09,49.27,47.97,49.5,47.98,50.42,42.7,49.46,50.23,48.1735,50.1728585155,46.1741414845
63,49.09,46.33,50.04,50.37,46.54,46.51,47.71,49.48,47.95,49.49,48.29,49.72,42.85,49.97,50.8,48.291,50.3398042726,46.2421957274
64,49.09,46,49.81,50.24,46.56,46.92,47.82,49.43,47.9,49.47,48.27,50.05,42.94,49.63,51.45,48.3125,50.4211036163,46.2038963837
