Episodes,Reward 1,Reward 2,Reward 3,mean,top,bottom,
51,190.52,149.86,179.51,173.29666666666668,194.32671738779746,152.2666159455359,
52,190.92,149.24,181.06,173.74,195.52284646229688,151.95715353770314,
53,190.92,148.86,181.06,173.61333333333334,195.6099361013367,151.61673056533,
54,190.92,149.42,181.58,173.97333333333333,195.7439220560421,152.20274461062456,
55,190.92,149.55,181.77,174.08,195.8106534646338,152.34934653536624,
56,192.11,149.35,183.38,174.94666666666666,197.53970172912193,152.3536316042114,
57,193.03,148.58,183.08,174.89666666666668,198.22424333749413,151.56908999583922,
58,193.43,149.77,183.08,175.42666666666668,198.24067625142257,152.61265708191078,
59,193.43,148.42,182.65,174.83333333333334,198.33440210335598,151.3322645633107,
60,193.48,149.74,182.71,175.31,198.0996226383852,152.5203773616148,
61,193.59,151.0,182.67,175.75333333333333,197.8747535710426,153.63191309562407,
62,193.59,152.65,182.31,176.18333333333334,197.329797182718,155.03686948394866,
63,193.62,152.94,182.31,176.29,197.28752128228473,155.29247871771526,
64,193.62,153.17,182.16,176.31666666666666,197.16514462869867,155.46818870463466,
65,193.62,152.93,182.16,176.23666666666668,197.21840714102518,155.25492619230818,
66,195.41,154.6,182.32,177.44333333333333,198.28080998798933,156.60585667867733,
67,195.71,154.81,183.85,178.12333333333333,199.16611198381895,157.08055468284772,
68,195.71,155.43,184.01,178.38333333333333,199.10443690754803,157.66222975911862,
69,195.71,156.37,184.16,178.74666666666667,198.9676219688608,158.52571136447253,
70,195.71,156.37,184.11,178.73000000000002,198.9442820797574,158.51571792024265,
71,195.71,156.5,184.11,178.77333333333334,198.9157272658661,158.63093940080057,
72,195.71,156.65,184.36,178.90666666666667,198.99957669317436,158.81375664015897,
73,197.42,156.43,185.55,179.8,200.89127544744508,158.70872455255494,
74,197.42,156.39,185.55,179.78666666666666,200.90010393617192,158.6732293971614,
75,197.42,156.78,185.32,179.84,200.70684451468406,158.97315548531594,
76,197.42,158.67,185.17,180.42,200.22688011777726,160.61311988222272,
77,197.42,158.9,185.17,180.49666666666667,200.1773077470109,160.81602558632244,
78,197.57,158.33,185.32,180.40666666666667,200.4827726968044,160.33056063652893,
79,197.57,158.59,185.66,180.60666666666665,200.581957236101,160.6313760972323,
80,197.57,158.63,185.47,180.55666666666667,200.4862058819454,160.62712745138793,
81,197.94,159.3,185.44,180.89333333333335,200.61049675339285,161.17616991327384,
82,197.94,159.46,185.44,180.94666666666666,200.57623959460713,161.3170937387262,
83,197.94,160.07,185.72,181.24333333333334,200.571153524274,161.91551314239268,
84,197.94,159.81,185.22,180.99,200.40375543268226,161.57624456731776,
85,197.98,159.81,185.0,180.93,200.33775360519604,161.52224639480397,
86,197.98,161.4,185.21,181.53,200.09558375058538,162.96441624941463,
87,197.98,161.88,185.86,181.90666666666667,200.27849655193756,163.53483678139577,
88,197.98,161.97,186.16,182.03666666666666,200.39235879018338,163.68097454314994,
89,197.98,162.29,186.57,182.28,200.5076465842412,164.0523534157588,
90,197.98,162.78,186.58,182.44666666666666,200.40699331551502,164.4863400178183,
91,198.72,163.08,186.58,182.79333333333335,200.91256436926125,164.67410229740545,
92,198.72,163.68,186.58,182.99333333333334,200.786549269002,165.20011739766468,
93,198.72,163.86,187.42,183.33333333333334,201.1190167144501,165.54764995221657,
94,198.72,163.95,187.66,183.44333333333333,201.20771999128843,165.67894667537823,
95,198.72,164.12,187.66,183.5,201.17114031408272,165.82885968591728,
96,198.72,165.1,187.66,183.82666666666665,200.96133717220405,166.69199616112925,
97,198.72,165.45,187.66,183.94333333333333,200.88686995746625,166.9997967092004,
98,198.72,165.71,188.18,184.20333333333335,201.06380287997803,167.34286378668867,
99,198.72,166.0,188.16,184.29333333333332,200.99252293442873,167.5941437322379,
100,198.72,167.46,188.26,184.81333333333333,200.72579804918843,168.90086861747824,
101,198.72,169.07,187.93,185.24,200.24692173631888,170.23307826368114,
102,198.72,169.85,188.18,185.58333333333334,200.1924480680917,170.974218598575,
103,198.72,170.09,188.18,185.66333333333333,200.143299953921,171.18336671274565,
104,198.72,168.72,188.18,185.20666666666668,200.4260797083491,169.98725362498425,
105,198.4,169.38,188.18,185.32,200.03987771688338,170.6001222831166,
106,197.01,169.38,188.18,184.85666666666665,198.96828008729767,170.74505324603564,
107,195.34,170.94,187.21,184.49666666666667,196.9209023909812,172.07243094235213,
108,195.34,171.72,187.09,184.71666666666667,196.7041865658507,172.72914676748263,
109,195.34,172.11,187.09,184.84666666666666,196.62302575313024,173.0703075802031,
110,195.34,172.5,187.57,185.13666666666666,196.7494713810039,173.5238619523294,
111,195.34,172.53,187.57,185.14666666666668,196.7431503291108,173.55018300422256,
112,195.34,172.8,187.67,185.27,196.73005671888234,173.80994328111768,
113,195.34,172.2,187.82,185.12,196.9239146049097,173.3160853950903,
114,195.34,172.07,187.54,184.98333333333332,196.8271348063965,173.13953186027015,
115,196.62,172.26,187.54,185.47333333333333,197.78413076214895,173.1625359045177,
116,196.62,172.61,187.54,185.59,197.71319677312877,173.46680322687124,
117,196.62,173.86,187.54,186.00666666666666,197.4638798240332,174.54945350930012,
118,196.62,174.3,187.56,186.16,197.38566701804396,174.93433298195603,
119,196.62,174.5,187.56,186.22666666666666,197.34678057495614,175.10655275837718,
120,196.62,173.98,186.86,185.82,197.17577386178502,174.46422613821497,
121,196.62,174.22,186.86,185.9,197.13081475227867,174.66918524772134,
122,196.62,174.5,186.86,185.99333333333334,197.07877122875874,174.90789543790794,
123,196.62,175.22,186.86,186.23333333333335,196.947087732858,175.5195789338087,
124,196.62,175.36,187.1,186.36,197.00930044650823,175.7106995534918,
125,196.62,175.26,187.1,186.32666666666665,197.027644815104,175.6256885182293,
126,196.62,175.87,187.1,186.53,196.91673673489416,176.14326326510584,
127,196.62,176.09,187.1,186.60333333333332,196.87734099019895,176.3293256764677,
128,196.62,177.37,187.1,187.03,196.65519090719764,177.40480909280237,
129,196.28,176.54,187.38,186.73333333333332,196.61920877930842,176.84745788735822,
130,196.28,176.71,187.38,186.79,196.58833149061613,176.99166850938386,
131,196.28,176.87,187.38,186.84333333333333,196.5594556737186,177.12721099294808,
132,196.28,176.14,186.59,186.33666666666667,196.40905632023615,176.2642770130972,
133,196.28,175.72,186.61,186.20333333333335,196.4893643139076,175.9173023527591,
134,196.28,175.65,187.94,186.62333333333333,197.001167082885,176.24549958378168,
135,196.28,175.56,188.0,186.61333333333334,197.0427021221591,176.18396454450757,
136,196.28,176.02,188.0,186.76666666666668,196.9528206677278,176.58051266560557,
137,196.28,175.74,188.1,186.70666666666668,197.04731139189215,176.3660219414412,
138,196.28,175.94,188.41,186.87666666666667,197.13299316952984,176.6203401638035,
139,196.28,175.72,188.41,186.80333333333334,197.1770710075438,176.4295956591229,
140,196.28,174.63,189.35,186.75333333333333,197.8094462729398,175.69722039372687,
141,196.28,174.9,189.49,186.89000000000001,197.8145640645291,175.96543593547094,
142,196.28,174.71,189.49,186.82666666666668,197.85554844739738,175.79778488593598,
143,196.28,174.31,189.49,186.69333333333333,197.94216586534895,175.4445008013177,
144,196.28,175.32,189.49,187.03,197.72434897504286,176.33565102495714,
145,196.28,173.89,189.49,186.55333333333334,198.03357868495078,175.0730879817159,
146,196.28,173.68,190.87,186.94333333333333,198.7439279511199,175.14273871554676,
147,196.28,173.34,190.87,186.83,198.8217513316446,174.83824866835542,
148,196.28,173.13,189.01,186.14,197.97884707224483,174.30115292775514,
149,196.28,172.4,189.13,185.93666666666667,198.1927522299015,173.68058110343185,
150,196.28,171.96,189.13,185.79,198.2892919799483,173.29070802005168,
151,196.28,171.75,189.13,185.72,198.33551822161897,173.10448177838103,
152,196.28,172.22,189.13,185.87666666666667,198.23219309548924,173.5211402378441,
153,196.28,172.64,189.13,186.01666666666665,198.14028136416235,173.89305196917095,
154,196.28,172.27,189.13,185.89333333333335,198.22122988275868,173.565436783908,
155,196.19,171.94,189.13,185.75333333333333,198.22598474886377,173.2806819178029,
156,196.19,171.63,189.13,185.65,198.29441378633268,173.00558621366733,
157,196.19,172.22,189.86,186.09,198.5117510842876,173.6682489157124,
158,196.19,171.12,189.86,185.72333333333333,198.76021307249383,172.68645359417283,
159,196.19,172.46,191.28,186.64333333333335,199.16939549721124,174.11727116945545,
160,196.19,171.89,191.34,186.47333333333333,199.3335756846008,173.61309098206587,
161,196.19,170.77,191.6,186.18666666666667,199.73370447326238,172.63962886007096,
162,196.19,170.49,191.96,186.21333333333334,199.99341436841195,172.43325229825473,
163,196.19,169.68,191.96,185.94333333333333,200.18570790126734,171.70095876539932,
164,196.19,169.47,192.38,186.01333333333332,200.4663756889529,171.56029097771375,
165,196.19,169.08,192.38,185.88333333333333,200.55960783789794,171.2070588287687,
166,196.19,168.36,192.38,185.64333333333335,200.7318797621095,170.5547869045572,
167,196.19,167.21,192.38,185.26,201.0074093107406,169.51259068925938,
168,196.19,166.63,192.38,185.06666666666666,201.14653088665725,168.98680244667608,
169,196.19,165.69,192.38,184.75333333333333,201.37220914769975,168.1344575189669,
170,196.19,164.27,192.43,184.29666666666668,201.74186466879132,166.85146866454204,
171,196.19,163.46,192.43,184.02666666666667,201.93686580942702,166.11646752390632,
172,196.19,162.84,192.43,183.82,202.08621745189737,165.55378254810262,
173,196.19,162.19,192.6,183.66,202.34000802997684,164.97999197002315,
174,196.19,161.39,192.6,183.39333333333332,202.53313566599428,164.25353100067235,
175,196.19,160.78,192.89,183.28666666666666,202.84772577228088,163.72560756105244,
176,196.19,160.03,193.19,183.13666666666666,203.20376743716494,163.06956589616837,
177,196.19,158.85,193.19,182.74333333333334,203.48986396699192,161.99680269967476,
178,194.59,158.87,193.19,182.21666666666667,202.44758689618993,161.9857464371434,
179,194.59,157.49,193.19,181.75666666666666,202.78387126769087,160.72946206564245,
180,194.59,156.72,193.58,181.63,203.20860282780143,160.05139717219856,
181,194.59,156.19,193.61,181.46333333333334,203.35616625493884,159.57050041172783,
182,194.59,155.56,193.61,181.25333333333333,203.5098072978528,158.99685936881386,
183,194.59,154.84,193.75,181.06,203.77106998800366,158.34893001199634,
184,194.59,154.65,194.41,181.21666666666667,204.2242509234576,158.20908240987575,
185,194.59,154.09,194.63,181.10333333333332,204.49757479001093,157.70909187665572,
186,194.59,153.35,194.63,180.85666666666665,204.6781471692159,157.03518616411742,
187,194.59,152.69,194.63,180.63666666666666,204.83919821469553,156.43413511863778,
188,194.59,152.13,194.71,180.47666666666666,205.0256734354411,155.92765989789223,
189,194.59,151.56,194.71,180.28666666666666,205.1647621189583,155.40857121437503,
190,194.59,151.02,194.71,180.10666666666668,205.2965303688254,154.91680296450798,
191,194.59,150.2,194.71,179.83333333333334,205.49662293800668,154.17004372866,
192,194.59,149.42,194.71,179.57333333333332,205.68695493841395,153.4597117282527,
193,194.59,148.83,194.71,179.37666666666667,205.8309240430009,152.92240929033244,
194,194.59,148.24,194.71,179.18,205.97489317015464,152.38510682984537,
195,194.59,147.28,194.71,178.86,206.20914806717022,151.5108519328298,
196,194.59,146.76,194.71,178.68666666666667,206.3360361591765,151.03729717415683,
197,194.59,146.13,194.71,178.47666666666666,206.4897659834744,150.46356734985892,
