Episodes,Reward 1,Reward 2,mean,top,bottom,
1,19.0,10.0,14.5,20.86396103067893,8.136038969321072,
2,13.0,23.0,18.0,25.071067811865476,10.928932188134524,
3,44.0,11.0,27.5,50.83452377915607,4.1654762208439315,
4,10.0,17.0,13.5,18.449747468305834,8.550252531694166,
5,15.0,39.0,27.0,43.970562748477136,10.029437251522861,
6,21.0,65.0,43.0,74.11269837220809,11.88730162779191,
7,21.0,14.0,17.5,22.449747468305834,12.550252531694166,
8,70.0,12.0,41.0,82.01219330881975,-0.012193308819753668,
9,9.0,13.0,11.0,13.82842712474619,8.17157287525381,
10,11.0,25.0,18.0,27.899494936611667,8.100505063388335,
11,15.0,27.0,21.0,29.485281374238568,12.51471862576143,
12,18.0,10.0,14.0,19.65685424949238,8.34314575050762,
13,15.0,43.0,29.0,48.798989873223334,9.20101012677667,
14,11.0,39.0,25.0,44.798989873223334,5.201010126776669,
15,16.0,14.0,15.0,16.414213562373096,13.585786437626904,
16,25.0,33.0,29.0,34.65685424949238,23.34314575050762,
17,34.0,16.0,25.0,37.72792206135786,12.272077938642145,
18,12.0,19.0,15.5,20.449747468305834,10.550252531694166,
19,34.0,28.0,31.0,35.242640687119284,26.757359312880716,
20,10.0,29.0,19.5,32.935028842544405,6.064971157455597,
21,12.0,29.0,20.5,32.520815280171306,8.479184719828693,
22,20.0,19.0,19.5,20.207106781186546,18.792893218813454,
23,16.0,12.0,14.0,16.82842712474619,11.17157287525381,
24,16.0,9.0,12.5,17.449747468305834,7.550252531694167,
25,11.0,11.0,11.0,11.0,11.0,
26,11.0,11.0,11.0,11.0,11.0,
27,12.0,17.0,14.5,18.035533905932738,10.964466094067262,
28,22.0,23.0,22.5,23.207106781186546,21.792893218813454,
29,21.0,14.0,17.5,22.449747468305834,12.550252531694166,
30,22.0,14.0,18.0,23.65685424949238,12.34314575050762,
31,12.0,15.0,13.5,15.621320343559642,11.378679656440358,
32,11.0,38.0,24.5,43.59188309203678,5.408116907963215,
33,31.0,14.0,22.5,34.520815280171306,10.479184719828693,
34,34.0,17.0,25.5,37.520815280171306,13.479184719828693,
35,17.0,26.0,21.5,27.86396103067893,15.136038969321072,
36,17.0,20.0,18.5,20.621320343559642,16.378679656440358,
37,37.0,46.0,41.5,47.86396103067893,35.13603896932107,
38,14.0,17.0,15.5,17.621320343559642,13.378679656440358,
39,16.0,16.0,16.0,16.0,16.0,
40,19.0,43.0,31.0,47.970562748477136,14.029437251522861,
41,16.0,18.0,17.0,18.414213562373096,15.585786437626904,
42,17.0,34.0,25.5,37.520815280171306,13.479184719828693,
43,30.0,9.0,19.5,34.3492424049175,4.650757595082503,
44,14.0,19.0,16.5,20.035533905932738,12.964466094067262,
45,22.0,11.0,16.5,24.27817459305202,8.721825406947978,
46,22.0,88.0,55.0,101.66904755831214,8.330952441687863,
47,16.0,49.0,32.5,55.83452377915607,9.165476220843932,
48,18.0,9.0,13.5,19.86396103067893,7.136038969321072,
49,12.0,9.0,10.5,12.621320343559642,8.378679656440358,
50,18.0,12.0,15.0,19.242640687119284,10.757359312880716,
51,11.0,10.0,10.5,11.207106781186548,9.792893218813452,
52,21.0,13.0,17.0,22.65685424949238,11.34314575050762,
53,38.0,61.0,49.5,65.7634559672906,33.2365440327094,
54,14.0,72.0,43.0,84.01219330881975,1.9878066911802463,
55,18.0,32.0,25.0,34.89949493661167,15.100505063388335,
56,22.0,19.0,20.5,22.621320343559642,18.378679656440358,
57,17.0,35.0,26.0,38.72792206135786,13.272077938642145,
58,13.0,29.0,21.0,32.31370849898476,9.686291501015239,
59,14.0,18.0,16.0,18.82842712474619,13.17157287525381,
60,35.0,46.0,40.5,48.27817459305202,32.72182540694798,
61,20.0,10.0,15.0,22.071067811865476,7.9289321881345245,
62,28.0,21.0,24.5,29.449747468305834,19.550252531694166,
63,11.0,39.0,25.0,44.798989873223334,5.201010126776669,
64,13.0,27.0,20.0,29.899494936611667,10.100505063388335,
65,18.0,33.0,25.5,36.10660171779821,14.893398282201787,
66,16.0,42.0,29.0,47.384776310850235,10.615223689149765,
67,21.0,24.0,22.5,24.621320343559642,20.378679656440358,
68,15.0,31.0,23.0,34.31370849898476,11.686291501015239,
69,13.0,26.0,19.5,28.692388155425117,10.307611844574883,
70,28.0,25.0,26.5,28.621320343559642,24.378679656440358,
